conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1844163391814012949,Wed Oct 09 23:49:50 +0000 2024,0,#TIMNASDAY !!! 🇮🇩🇮🇩🇮🇩 Hari pembantaian Bahrain ,1844163391814012949,,,in,,0,0,0,https://x.com/brianjienoe/status/1844163391814012949,96128322,brianjienoe
1844044331273125909,Wed Oct 09 23:49:42 +0000 2024,0,@Mas_udiien #TimnasDay Bahrain 0-indonesia 1,1844163360193118356,,Mas_udiien,in,Indonesia raya ,0,0,1,https://x.com/Syah6064/status/1844163360193118356,1559432922108948480,Syah6064
1844149136356147709,Wed Oct 09 23:49:33 +0000 2024,0,@mypediasure 🇧🇭 Bahrain 0 Vs 0 Indonesia 🇮🇩 #TimnasDay #MyPediaScore,1844163322087866544,,mypediasure,in,Temple ⛩,0,0,0,https://x.com/AlbertXenn/status/1844163322087866544,1823648872948019200,AlbertXenn
1844163296301285617,Wed Oct 09 23:49:27 +0000 2024,0,Renungan Hari Kamis Menjelang #TimnasDay https://t.co/PEIu0bNCw6,1844163296301285617,https://pbs.twimg.com/media/GZfIvdvaAAADGa-.jpg,,in,,0,0,0,https://x.com/gandana888/status/1844163296301285617,1818116727831687168,gandana888
1844149136356147709,Wed Oct 09 23:48:59 +0000 2024,0,@mypediasure 🇧🇭 Bahrain 0 Vs 0 Indonesia 🇮🇩 #TimnasDay #MyPediaScore,1844163178848190472,,mypediasure,in,,0,0,0,https://x.com/mas_ich/status/1844163178848190472,832740950,mas_ich
1844161327327306204,Wed Oct 09 23:48:39 +0000 2024,0,@C_IndahJKT48 Pagiii jangan lupa hari ini #TimnasDay,1844163097155739696,,C_IndahJKT48,in,,0,0,0,https://x.com/rizkydhan88/status/1844163097155739696,289779509,rizkydhan88
1843949852973257082,Wed Oct 09 23:48:13 +0000 2024,0,@unmagnetism Semoga menang #TimnasDay 1-0,1844162988175188113,,unmagnetism,in,Indonesia raya ,0,0,0,https://x.com/Syah6064/status/1844162988175188113,1559432922108948480,Syah6064
1844162916125425805,Wed Oct 09 23:47:56 +0000 2024,149,TEBAK SKOR 100k untuk 2 orang Cara ikutannya gampang Cukup tebak skor dari pertandingan INDONESIA VS BAHRAIN Contoh : Bahrain 1 - 2 Indonesia #TimnasDay Syarat dan ketentuan 1. Follow @ANS210724 2. Like &amp; Retweet postingan ini Kuis ditutup saat kickoff,1844162916125425805,,,in,Cileungsi,2,165,133,https://x.com/ANS210724/status/1844162916125425805,1126639944,ANS210724
1844162702777999491,Wed Oct 09 23:47:05 +0000 2024,0,Mood gw bagus bgt pagi ini cieelahh #TimnasDay,1844162702777999491,,,in,,0,0,0,https://x.com/nrfm99/status/1844162702777999491,1511691554125414404,nrfm99
1844162613862941006,Wed Oct 09 23:46:44 +0000 2024,0,Selamat pagi dunia tipu-tipu it's #TimnasDay letss goo... https://t.co/ms5Ls0En9L,1844162613862941006,https://pbs.twimg.com/media/GZfIHovaAAI6qqS.jpg,,in,,0,0,0,https://x.com/nrfm99/status/1844162613862941006,1511691554125414404,nrfm99
