Source,Target,Type,Weight
0LaMasia196588,yungsgy,Directed,1
0PSH8,0PSH8,Directed,143
0xN4N4,ForzaDonnaa,Directed,1
0xbocahOktowin_,hasyimmah,Directed,1
0xnpcnwin,azeclair,Directed,1
1trenggalek,1trenggalek,Directed,2
20gallantoarbi,20gallantoarbi,Directed,1
2Mazing93,ruangpundit,Directed,1
48bolaID,48bolaID,Directed,1
97jef_,JIHY0KU,Directed,1
AARasamala0113,theaseanball,Directed,1
ADewantara,KingEmyu_ID,Directed,1
ADewantara,MafiaWasit,Directed,1
ANS210724,ANS210724,Directed,134
ANS210724,Mas_udiien,Directed,1
AUtiarahman,AUtiarahman,Directed,1
Aamiirdotstore,Aamiirdotstore,Directed,1
AbasBalapradana,AbasBalapradana,Directed,1
AdnanFahmy,AdnanFahmy,Directed,1
AfiyahKamila7,AfiyahKamila7,Directed,35
Aghniawan24_,KingEmyu_ID,Directed,1
AidilFikri23,ForzaDonnaa,Directed,1
Aira1Bella,Aira1Bella,Directed,1
Aisthetic_a,JIHY0KU,Directed,1
Ajiemaspatula,ForzaDonnaa,Directed,1
Ajuansyah_putra,OmanFA,Directed,1
Akbarri_,unmagnetism,Directed,1
Akmall0rens20,ForzaDonnaa,Directed,1
Akmall0rens20,adamfajarf,Directed,1
Aku_MohArwani,unmagnetism,Directed,1
AlbertXenn,mypediasure,Directed,1
Albiru942,Albiru942,Directed,1
Ali_srigala87,Ali_srigala87,Directed,22
Alonesiacom,Alonesiacom,Directed,6
Alt_Lim,unmagnetism,Directed,1
AlterEAries283,afcasiancup,Directed,1
AndreNata982,cingreborn,Directed,1
AndreNata982,diofateeh,Directed,1
AntoniusCDN,AntoniusCDN,Directed,18
AqiaqiH,AqiaqiH,Directed,3
Aqil__Rasyad,Aqil__Rasyad,Directed,19
Aquarianwine,Aquarianwine,Directed,1
ArdiJoko91,ArdiJoko91,Directed,4
Ariealhukii,ForzaDonnaa,Directed,1
ArielFauzan16,ArielFauzan16,Directed,1
Ariskha02,Ariskha02,Directed,2
Arisu__18,Arisu__18,Directed,6
Arisu__18,idextratime,Directed,1
AsmaRai343,TimnasIndonesia,Directed,1
Asmaradnta,Asmaradnta,Directed,1
Astarani_Store,Astarani_Store,Directed,1
AsupanBokep69,AsupanBokep69,Directed,5
Athen_sibi66023,ruangpundit,Directed,1
AtryuRafael,AtryuRafael,Directed,2
Ayu15tee,Ayu15tee,Directed,1
Azharvengeance1,Azharvengeance1,Directed,1
BAKS0lKAN,BAKS0lKAN,Directed,2
BNguyen80258,DS_yantie,Directed,1
BNguyen80258,ForRezim,Directed,1
BNguyen80258,Madariyanhadi,Directed,1
BNguyen80258,TxtdariHI,Directed,1
BNguyen80258,bubbleppong,Directed,1
BNguyen80258,fortisfortuna_9,Directed,1
BNguyen80258,officialinews_,Directed,1
BNguyen80258,podo_radong1,Directed,1
BNguyen80258,qentrunx,Directed,1
BNguyen80258,shibalzz,Directed,1
BNguyen80258,siiemak,Directed,1
BNguyen80258,sridarwanto,Directed,1
BNguyen80258,swextdemon,Directed,1
BNguyen80258,threadshopee,Directed,1
B_dzoel,B_dzoel,Directed,4
BadmintonLive1,BadmintonLive1,Directed,1
BahaDzulhijah,FaktaSepakbola,Directed,1
