"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1844528293967692098","Thu Oct 10 23:59:49 +0000 2024","13","Ini baru gagasan yg baik dan bermanfaat banyak buat lingkungan dan keamanan ditingkat warga. Kang Emil malah ngasih kopi gratis. #JakartaTanpaRK #afcmafia #TimnasDay ¶ Wasit ¶ China ¶ Bahrain ¶ https://t.co/sQhnq1NuA6","1844528293967692098","https://pbs.twimg.com/ext_tw_video_thumb/1844528204729778176/pu/img/XZqtSJLsJIiKhRN6.jpg","","in","","0","3","9","https://x.com/Dodyeonn/status/1844528293967692098","1449335159874940929","Dodyeonn"
"1844528246928572913","Thu Oct 10 23:59:38 +0000 2024","14","Mainan Skuter Duduk Link Shopee :https://t.co/QlqIM85sbj #TimnasDay #wasit https://t.co/IMw7VrHJZT","1844528246928572913","https://pbs.twimg.com/ext_tw_video_thumb/1844528212333953026/pu/img/uCNEesOqhbMVZlI2.jpg","","in","Jakarta","0","0","11","https://x.com/allucantwit/status/1844528246928572913","320308766","allucantwit"
"1844528221683056932","Thu Oct 10 23:59:32 +0000 2024","0","Usai Laga Kontroversial Bahrain vs Indonesia Akun Instagram Wasit Ahmed Al Kaf Hilang https://t.co/9Wv8WM0n9K #TimnasIndonesia #TimnasDay #Timnas #KitaGaruda","1844528221683056932","","","in","","0","0","0","https://x.com/Alonesiacom/status/1844528221683056932","1442722911475814408","Alonesiacom"
"1844528202980725113","Thu Oct 10 23:59:27 +0000 2024","0","Tuan rumah itu menjengkelkan #TimnasDay","1844528202980725113","","","in","Sragen, Indonesia","0","0","0","https://x.com/faren717728/status/1844528202980725113","1732647577651453952","faren717728"
"1844528067928277330","Thu Oct 10 23:58:55 +0000 2024","2","Ayo serukan email ke FIFA BUKAN KE AFC KARENA AFC PRESIDEN NYA BAHRAIN. SEMOGA PERTANDINGAN NYA DI ULANG LAGI .YOOO #TimnasDay #wasit #afcmafia #AFCON2025Q #FIFAWorldCup #shintaeyong #witan #indonesia # https://t.co/tpP9zK6VRY","1844528067928277330","https://pbs.twimg.com/media/GZkUfwEaMAAFI5i.png","","in","CINA","0","0","0","https://x.com/DOKU_2000/status/1844528067928277330","1407919421092294657","DOKU_2000"
"1844527952446603550","Thu Oct 10 23:58:28 +0000 2024","0","Pak Muh sampe Emosi gini Istigfar Pak #TimnasDay #wasit https://t.co/XRyJK6YksR","1844527952446603550","https://pbs.twimg.com/ext_tw_video_thumb/1844527932662046720/pu/img/eoYCX-0Bg-1V_FbB.jpg","","in","DKI Jakarta","0","0","0","https://x.com/SeJakarta_id/status/1844527952446603550","1571536417448402944","SeJakarta_id"
"1844527893944336724","Thu Oct 10 23:58:14 +0000 2024","0","Hasil imbang yang didapat dari Bahrain tadi malam membuat Timnas Indonesia untuk sementara duduk di posisi lima klasemen grup C. Next lawan China harus dapat poin penuh🇮🇩 #bolaskorcom #timnasday #timnasindonesia #WCQ2026 https://t.co/2NNHjMRgZy","1844527893944336724","https://pbs.twimg.com/media/GZkUWAeaAAQdESa.jpg","","in","Indonesia","0","0","0","https://x.com/bolaskorcom/status/1844527893944336724","940477788959555584","bolaskorcom"
"1844527889418772919","Thu Oct 10 23:58:13 +0000 2024","1","Sepak bola AFC gila. #TimnasDay","1844527889418772919","","","in","Bandung, Jawa Barat","0","0","0","https://x.com/SedotIdung_Babi/status/1844527889418772919","1681860728880500736","SedotIdung_Babi"
"1844527880556118242","Thu Oct 10 23:58:11 +0000 2024","0","Gw masih EMOSI Lihat Bahrain dan Wasit Botak Babi itu anjeeennngggggg #TimnasDay","1844527880556118242","","","in","","0","0","0","https://x.com/sellernyakpop/status/1844527880556118242","1830156323578920962","sellernyakpop"
"1844527764109733970","Thu Oct 10 23:57:43 +0000 2024","0","Timnas Indonesia nyaris merebut kemenangan perdana sebelum disamakan Bahrain di menit akhir injury time Gimana komentarnya Sob terutama wasit malam ini?‍️ #bolaskorcom #timnasday #timnasindonesia #wcq2026 #kualifikasipialadunia2026 https://t.co/dwFRWSLZYS","1844527764109733970","https://pbs.twimg.com/media/GZkUORAaAAIIocy.jpg","","in","Indonesia","0","0","0","https://x.com/bolaskorcom/status/1844527764109733970","940477788959555584","bolaskorcom"
"1844527743633178648","Thu Oct 10 23:57:38 +0000 2024","0","gajadi jumat yg berbahagia kh #TimnasDay","1844527743633178648","","","in","everywhere","0","0","0","https://x.com/ayundapanda_/status/1844527743633178648","1282657963","ayundapanda_"
"1844527709839634620","Thu Oct 10 23:57:30 +0000 2024","9","Waspada perkembangan Anak sekolah thd Judol Pornografi dsb. #BersatuAntiJudol #afcmafia #TimnasDay Wasit Bahrain https://t.co/t8LMyO0sIg","1844527709839634620","https://pbs.twimg.com/media/GZkUK-maAAQe3OV.jpg","","in","Jakarta Capital Region, Indone","0","0","9","https://x.com/MerahPutih2024/status/1844527709839634620","1271667388488937472","MerahPutih2024"
"1844527691296563287","Thu Oct 10 23:57:26 +0000 2024","0","Yang mau beli jersey Away yang belum terkalahkan nih di #TimnasDay Supporter Rp. 185.070 https://t.co/1SKiBaxHx3 Replica Rp. 557.070 https://t.co/FY6Rn3c1HH Player Issue Rp.1.208.070 https://t.co/wT1j4ehSH6","1844527693368525231","","hopbola","in","Sumurbandung, Indonesia","0","0","0","https://x.com/hopbola/status/1844527693368525231","2773057176","hopbola"
"1844527628507873337","Thu Oct 10 23:57:10 +0000 2024","1","Hasil pertandingan kualifikasi Piala Dunia zona Amerika Selatan (CONMEBOL) pada 11 Oktober 2024 diwarnai dengan kejutan kalahnya Kolombia dan Argentina seri https://t.co/4cFIHjfL2v #ConmebolQualifiers #afcmafia #TimnasDay","1844527628507873337","","","in","Cijantung","0","0","1","https://x.com/MoXweet/status/1844527628507873337","101426317","MoXweet"
"1844527519833391138","Thu Oct 10 23:56:45 +0000 2024","0","Gua dah feeling njir pasti indonesia nanti di permainkan nih ama wasit dan bahrain ternyata bener. Next china habis ini mau apa lagi nih. #TimnasDay #TimnasIndonesia #bahrainvsindonesia","1844527519833391138","","","in","Pesisir Selatan, Sumatera Bara","0","0","0","https://x.com/MirAcle__098/status/1844527519833391138","1189959402834423808","MirAcle__098"
"1844527423796412604","Thu Oct 10 23:56:22 +0000 2024","5","STY sangat kecewa dengan performa wasit. Memalukan! #TimnasDay #TimnasIndonesia https://t.co/LDA2w79d88","1844527423796412604","https://pbs.twimg.com/ext_tw_video_thumb/1844527366384779264/pu/img/j7xPfGLtRTbJDx3Z.jpg","","in","","0","0","1","https://x.com/PelatihT1dur/status/1844527423796412604","1400896654820085760","PelatihT1dur"
"1844527317147873682","Thu Oct 10 23:55:56 +0000 2024","9"," Dan saat ini telah diajukan pemblokiran terhadap lima rekening dan uang tunai total Rp6.055.000.000 kata Himawan di Mabes Polri Jakarta Selasa #BersatuAntiJudol #afcmafia #TimnasDay Wasit Bahrain https://t.co/lr29hzy6No","1844527317147873682","https://pbs.twimg.com/media/GZkT0OTaAAA80hE.jpg","","in","Jakarta Capital Region, Indone","0","1","10","https://x.com/MerahPutih2024/status/1844527317147873682","1271667388488937472","MerahPutih2024"
"1844527179239129281","Thu Oct 10 23:55:23 +0000 2024","0","jangan sampe gw tanemin rambut tuh di kepala wasit #TimnasDay #Timnas #TimnasIndonesia","1844527179239129281","","","in","","0","0","0","https://x.com/scndpartshnsn/status/1844527179239129281","1213343470133207040","scndpartshnsn"
"1844527176789655592","Thu Oct 10 23:55:23 +0000 2024","0","Krn wasitnya jg asal timteng gue yakin wasitnya malu kalo sampe sesama timteng kalah sama indonesia. Jadi ga kelarkelar tuh match berharap bahrain ngegolin eh kejadian Bahrain kami tunggu kau away ke Indonesia jangan macam2 kau #TimnasDay #wasit #shayne #sty #bahrain #struick","1844527176789655592","","","in","","0","1","0","https://x.com/undernightstar/status/1844527176789655592","1049356199534055424","undernightstar"
"1844527149723848750","Thu Oct 10 23:55:16 +0000 2024","10","Bareskrim Polri membongkar sindikat judi online (judol) dengan situs slot8278 yang dikendalikan warga Tiongkok berinisial QF. Tersangka disebut datang ke Indonesia menyamar sebagai investor. #BersatuAntiJudol #afcmafia #TimnasDay Wasit Bahrain https://t.co/f4AHPHtJG7","1844527149723848750","https://pbs.twimg.com/media/GZkTqbVbEAAiiQ8.jpg","","in","Jakarta Capital Region, Indone","0","0","10","https://x.com/MerahPutih2024/status/1844527149723848750","1271667388488937472","MerahPutih2024"
"1844527134955766074","Thu Oct 10 23:55:13 +0000 2024","1","Jadi orang kahat enak ya berbuat jahat ga ada balesannya #TimnasDay","1844527134955766074","","","in","Bandung, Jawa Barat","0","0","0","https://x.com/SedotIdung_Babi/status/1844527134955766074","1681860728880500736","SedotIdung_Babi"
"1844526953157857559","Thu Oct 10 23:54:29 +0000 2024","17","Gokart mini murah https://t.co/cyCpiMx7D1 #TimnasDay #wasit https://t.co/6g5O8G7ard","1844526953157857559","https://pbs.twimg.com/ext_tw_video_thumb/1844080348998795265/pu/img/HaPlm7A8FkgOCc4_.jpg","","in","Jakarta","0","0","11","https://x.com/allucantwit/status/1844526953157857559","320308766","allucantwit"
"1844526817740456330","Thu Oct 10 23:53:57 +0000 2024","10","Polda Metro Jaya mengkonfirmasi jika Katak Bhizer saat ini berada diluar negeri ia diburu setelah adanya laporan masyarakat terkait aktivitas ilegal mempromosikan Judol di media sosial miliknya. #BersatuAntiJudol #afcmafia #TimnasDay Wasit Bahrain https://t.co/l0T9K8so3U","1844526817740456330","https://pbs.twimg.com/media/GZkTXIPaQAAPNDM.jpg","","in","Jakarta Capital Region, Indone","0","0","9","https://x.com/MerahPutih2024/status/1844526817740456330","1271667388488937472","MerahPutih2024"
"1844526701759561949","Thu Oct 10 23:53:30 +0000 2024","0","Kita tidak masalah dengan kehilangan 2 point nya tapi bagaimana cara kita kehilangan point nya cara Bahrain mendapatkan 1 point nya dgn cara menjijikan #TimnasDay","1844526701759561949","","","in","Semarang, Indonesia","0","0","0","https://x.com/DeviKhalifah/status/1844526701759561949","3314487517","DeviKhalifah"
"1844526504937652396","Thu Oct 10 23:52:43 +0000 2024","0","Gak ada yang mengitrupsi jalannya pertandingan apa alasanya untuk melebihkan waktu sampai dengan menit 99 Hai @afcasiancup @FIFAcom bisa tolong bantu dijelaskan? #TimnasDay #afcmafia","1844526504937652396","","","in","","0","0","0","https://x.com/rizalamri18_/status/1844526504937652396","4859071771","rizalamri18_"
"1844526418090393708","Thu Oct 10 23:52:22 +0000 2024","10","Memberantas judi online perlu adanya pendekatan spiritual dan struktur agar masyarakat tidak lagi melakukan budaya haram tersebut. #BersatuAntiJudol #afcmafia #TimnasDay Wasit Bahrain https://t.co/HCIlB9LTfW","1844526418090393708","https://pbs.twimg.com/media/GZkS_4FacAA2V1U.jpg","","in","Jakarta Capital Region, Indone","0","0","10","https://x.com/MerahPutih2024/status/1844526418090393708","1271667388488937472","MerahPutih2024"
"1844526297084723568","Thu Oct 10 23:51:53 +0000 2024","9"," Kami hajar penyebar materi promosi judi online tidak ada kompromi kata Budi Arie lewat keterangan resminya Kamis 10 Oktober 2024. #BersatuAntiJudol #afcmafia #TimnasDay Wasit Bahrain https://t.co/j3fz2zP8GF","1844526297084723568","https://pbs.twimg.com/media/GZkS4zEbsAAJSsy.jpg","","in","Jakarta Capital Region, Indone","0","0","9","https://x.com/MerahPutih2024/status/1844526297084723568","1271667388488937472","MerahPutih2024"
"1844526116016619779","Thu Oct 10 23:51:10 +0000 2024","10","Sebanyak 7 tersangka sindikat situs judi online SLOT8278 yang dikendalikan WN China ditangkap Dittipidsiber Bareskrim Polri. Para tersangka terancam hukuman maksimal 12 tahun penjara. #BersatuAntiJudol #afcmafia #TimnasDay Wasit Bahrain https://t.co/A7UlX9ibDr","1844526116016619779","https://pbs.twimg.com/media/GZkSuSxaAAI3Xcq.jpg","","in","Jakarta Capital Region, Indone","0","0","10","https://x.com/MerahPutih2024/status/1844526116016619779","1271667388488937472","MerahPutih2024"
"1844343777215066179","Thu Oct 10 23:50:57 +0000 2024","0","@FaktaSepakbola @OPPOIndonesia AI Linkboost nama fitur yg membantu koneksi tetap lancar saat streaming #OPPOReno12Series #OPPOxTimnas #TimnasDay","1844526062425997323","","FaktaSepakbola","in","indonesia","0","0","0","https://x.com/mbok_sabar80/status/1844526062425997323","1811035965018013696","mbok_sabar80"
"1844526038048752027","Thu Oct 10 23:50:51 +0000 2024","0","Mau komen wasit tapi alkaf. Konon kata....ah sudahlah #TimnasDay","1844526038048752027","","","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://x.com/akin_sip/status/1844526038048752027","1614401104523194368","akin_sip"
