"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1834018882455064662","Wed Sep 11 23:59:10 +0000 2024","0","Xiaomi Redmi 13 8GB+256GB - Garansi Resmi 1 Tahun Harga Produk: Rp2.325.000 Harga Diskon: Rp1.749.000 https://t.co/DJYo1mXFhM Fufufafa Indodax Tali Australia Login Paes #TimnasDay https://t.co/qdh1VQRFz1","1834018882455064662","https://pbs.twimg.com/media/GXO-c1HbgAAsXjj.jpg","","in","","0","0","0","https://x.com/dharmaboys1928/status/1834018882455064662","1590196808260587520","dharmaboys1928"
"1834018420339474589","Wed Sep 11 23:57:20 +0000 2024","0","Hp Vivo Y18 4/64GB 4/128GB 6/128GB 5000mAh Baterai NFC 100% Original Garansi Resmi Baru 2024 Harga Produk: Rp1.699.000 Harga Diskon: Rp1.419.000 https://t.co/v6WZq5dXOY Fufufafa Indodax Tali Australia Login Paes #TimnasDay https://t.co/6mZOjF9FLf","1834018420339474589","https://pbs.twimg.com/media/GXO-CFnbgAEaHdo.jpg","","in","","0","0","0","https://x.com/dharmaboys1928/status/1834018420339474589","1590196808260587520","dharmaboys1928"
"1834017994256908599","Wed Sep 11 23:55:38 +0000 2024","2","Oppo A60 8/128 8/256 Military-Grade Shock Resistance Splash Touch 100% Original Garansi Resmi Bisa COD Harga Produk: Rp1.699.000 Harga Diskon: Rp1.599.000 https://t.co/T5ODckJLNi Fufufafa Indodax Tali Australia Login Paes #TimnasDay https://t.co/To0U3H4CSe","1834017994256908599","https://pbs.twimg.com/media/GXO9pSpbgAElcSi.jpg","","in","","0","0","0","https://x.com/dharmaboys1928/status/1834017994256908599","1590196808260587520","dharmaboys1928"
"1834017262455738380","Wed Sep 11 23:52:44 +0000 2024","0","Vivo Y03 Y03t 4/64GB Helio G85 Processor 5000mAh + 3 Tahun Proteksi Baterai Garansi Resmi 2024 Harga Produk: Rp1.299.000 https://t.co/cRtPhfGSnY Fufufafa Indodax Tali Australia Login Paes #TimnasDay https://t.co/cREMHtYHMm","1834017262455738380","https://pbs.twimg.com/media/GXO8-ssbgAEzqKa.jpg","","in","","0","0","0","https://x.com/dharmaboys1928/status/1834017262455738380","1590196808260587520","dharmaboys1928"
"1834016817632936224","Wed Sep 11 23:50:58 +0000 2024","0","Ponsel Pintar Infinix Smart 8 dengan Baterai 5000mAh Kamera Ganda AI 13 MP Volume 200% Harga Produk: Rp1.778.000 Harga Diskon: Rp1.093.505 https://t.co/Bi0M7uAvKX Fufufafa Indodax Tali Australia Login Paes #TimnasDay https://t.co/a2gL6eXdNg","1834016817632936224","https://pbs.twimg.com/media/GXO8k1BbgAAHmWU.jpg","","in","","0","0","0","https://x.com/dharmaboys1928/status/1834016817632936224","1590196808260587520","dharmaboys1928"
"1834016330787516735","Wed Sep 11 23:49:02 +0000 2024","1","OPPO A60 8GB+256GB - Garansi Resmi 1 Tahun Harga Produk: Rp2.499.000 Harga Diskon: Rp2.349.000 https://t.co/67TaSRAW1F Fufufafa Indodax Tali Australia Login Paes #TimnasDay https://t.co/LYEqjqxk4f","1834016330787516735","https://pbs.twimg.com/media/GXO8IebbUAAn4JR.jpg","","in","","0","0","0","https://x.com/dharmaboys1928/status/1834016330787516735","1590196808260587520","dharmaboys1928"
"1833723762543612327","Wed Sep 11 23:47:05 +0000 2024","0","@kafiradikalis Urus ini aja Gagal Total.. Astaghfirullah... #TimnasDay #IndonesiaEmas2045 ??? https://t.co/a8yUJLfxQd","1834015839143821735","https://pbs.twimg.com/media/GXO7iRTbgAQoORj.jpg","kafiradikalis","in","Indonesia","0","0","0","https://x.com/beulangong174/status/1834015839143821735","808582626688712704","beulangong174"
"1833814808585703734","Wed Sep 11 23:43:01 +0000 2024","0","@kafiradikalis @Chilli_Pari Alhamdulillah... Kebusukannya Pasti TERBONGKAR. #TimnasDay #Indonesia2045 ?","1834014817491009992","","kafiradikalis","in","Indonesia","0","0","0","https://x.com/beulangong174/status/1834014817491009992","808582626688712704","beulangong174"
"1834014803993788802","Wed Sep 11 23:42:58 +0000 2024","0","vivo Y17s (4/64) - 50MP Camera 15W FlashCharge+5000mAH Dynamic Design IP54 Splash Waterproof Harga Produk: Rp1.599.000 Harga Diskon: Rp1.299.000 https://t.co/8upBzEGvpn Fufufafa Indodax Tali Australia Login Paes #TimnasDay https://t.co/WnJF5gxZyR","1834014803993788802","https://pbs.twimg.com/media/GXO6vnQbgAIo7nd.jpg","","in","","0","0","0","https://x.com/dharmaboys1928/status/1834014803993788802","1590196808260587520","dharmaboys1928"
"1834014444751659048","Wed Sep 11 23:41:32 +0000 2024","1","vivo Y27 (6/128) - 50MP Camera 44W FlashCharge+5000mAH Dynamic Design Harga Produk: Rp2.499.000 Harga Diskon: Rp1.799.000 https://t.co/FjXCUbcHd4 Fufufafa Indodax Tali Australia Login Paes #TimnasDay https://t.co/rG1g0OSBIJ","1834014444751659048","https://pbs.twimg.com/media/GXO6aw1bgAAS7Ox.jpg","","in","","0","0","0","https://x.com/dharmaboys1928/status/1834014444751659048","1590196808260587520","dharmaboys1928"
"1834014214748602374","Wed Sep 11 23:40:37 +0000 2024","1","Besar yah halamannya https://t.co/nN5R4eu8gx #VMAs #Australia #tali #TimnasDay #LISAisBACK_VMAs #Bahrain #indodax #login #Paes https://t.co/1EcDXFd5zx","1834014214748602374","https://pbs.twimg.com/ext_tw_video_thumb/1834010193166061568/pu/img/qojUeYwRmVety4cS.jpg","","in","VENOM","0","0","0","https://x.com/blackspiderrs/status/1834014214748602374","1825296455965581312","blackspiderrs"
"1833510331026649188","Wed Sep 11 23:38:50 +0000 2024","0","@Idho09 jangan terlalu senang ketika man of the match-nya adalah kiper bahagialah ketika motm-nya seorang striker #TimnasDay","1834013763965755507","","Idho09","in","","0","0","0","https://x.com/HansJ92714/status/1834013763965755507","1715816298469576704","HansJ92714"
"1834013500362162496","Wed Sep 11 23:37:47 +0000 2024","1","BOCORAN JAWA TOGEL X UANG69 TANGGAL : 12 SEPTEMBER 2024 HARI : KAMIS PERIODE : 45 &amp; 46 MAU UANG : PERGI KE JAKARTA MAINKAN JAWATOGEL DI UANG69 https://t.co/jbkmK13Eii #VMAs #Australia #tali #TimnasDay #LISAisBACK_VMAs #Bahrain #indodax #login #Paes https://t.co/hrLBJVMWxO","1834013500362162496","https://pbs.twimg.com/media/GXO0ZOGbgAMeh7D.jpg","","in","WIBU","0","0","0","https://x.com/ngakakupdate/status/1834013500362162496","1825299016508469248","ngakakupdate"
"1834012652953284812","Wed Sep 11 23:34:25 +0000 2024","0","Jose Mourinho pernah bilang sangat menyedihkan ketika man of the match kami adalah seorang kiper dan itu terjadi berkali-kali tahu artinya kan? #TimnasDay #GarudaMendunia","1834012652953284812","","","in","","0","0","0","https://x.com/HansJ92714/status/1834012652953284812","1715816298469576704","HansJ92714"
"1834012616391622718","Wed Sep 11 23:34:16 +0000 2024","1","Asupan harian tobrut baik Nikmati guys jangan sampe basah duluan https://t.co/nNygjxes2j #VMAs #Australia #tali #TimnasDay #LISAisBACK_VMAs #Bahrain #indodax #login #Paes https://t.co/qLqRp7HO1R","1834012616391622718","https://pbs.twimg.com/ext_tw_video_thumb/1833983317366243329/pu/img/x4WdTIxPlJn-3jWB.jpg","","in","TOBRUTKAHMANIEZ","0","0","0","https://x.com/tobrutdaily/status/1834012616391622718","1813692105212260352","tobrutdaily"
"1833747003626705274","Wed Sep 11 23:33:00 +0000 2024","0","@NarasiNewsroom Ini Aja Gagal Total.. Rezim Nyungsep Astaghfirullah #TimnasDay https://t.co/B0nJMDsC65","1834012297993552320","https://pbs.twimg.com/media/GXO4TPybYAE8dlx.jpg","NarasiNewsroom","in","Indonesia","0","0","0","https://x.com/beulangong174/status/1834012297993552320","808582626688712704","beulangong174"
