"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1833656569453760885","Tue Sep 10 23:59:28 +0000 2024","9","Akhirnya Pelaku Judol menjadi beban Masyarakat &amp; Keluarga. #JudolRip #TimnasDay Marselino Rizky Ridho Paes Marceng Australia Pindah Yang Lebih Bagus https://t.co/UYTPAvM7Y3","1833656569453760885","https://pbs.twimg.com/media/GXJ07cuaUAAUwUX.jpg","","in","Jakarta Capital Region, Indone","0","0","7","https://x.com/caknur1414/status/1833656569453760885","960668225171111937","caknur1414"
"1833656309281075406","Tue Sep 10 23:58:26 +0000 2024","0","Coach Justin : Jujur kita ga layak menang ga layak kalah juga. Ini hasil bagus lho lawan rank 24 fifa #TimnasDay #timnasindonesia #coachjustin #kualifikasipialadunia2026 #timnas https://t.co/uWZfRRsRAP","1833656309281075406","https://pbs.twimg.com/ext_tw_video_thumb/1833656243828998144/pu/img/HBJGuE76Exwvbdy4.jpg","","in","","0","0","0","https://x.com/tsalmoon/status/1833656309281075406","1129220102094708737","tsalmoon"
"1833656277874196834","Tue Sep 10 23:58:18 +0000 2024","198","Marteen Paes malah Peeh-nya buat 'ngudang' presiden #TimnasDay #GarudaMendunia https://t.co/67nzMh1kCr","1833656277874196834","https://pbs.twimg.com/ext_tw_video_thumb/1833656244479164416/pu/img/P-wWYDqZm_jn8OX5.jpg","","in","Jawa Timur, Indonesia","0","0","19","https://x.com/NodusPurkinje/status/1833656277874196834","1599296292651294720","NodusPurkinje"
"1833656234064674995","Tue Sep 10 23:58:08 +0000 2024","11","Bunuh Isteri gara gara JUDOL Biadab.. #JudolRip #TimnasDay Marselino Rizky Ridho Paes Marceng Australia Pindah Yang Lebih Bagus https://t.co/02K7Rg1BXF","1833656234064674995","https://pbs.twimg.com/media/GXJ0oAWaQAANoBn.jpg","","in","Jakarta Capital Region, Indone","0","0","10","https://x.com/caknur1414/status/1833656234064674995","960668225171111937","caknur1414"
"1833656031781728576","Tue Sep 10 23:57:20 +0000 2024","10","IRT Promosi Judol tanpa Busana Nirmoral.. #JudolRip #TimnasDay Marselino Rizky Ridho Paes Marceng Australia Pindah Yang Lebih Bagus https://t.co/EpW7mK8c63","1833656031781728576","https://pbs.twimg.com/media/GXJ0cKgbEAA-l-a.jpg","","in","Jakarta Capital Region, Indone","0","0","8","https://x.com/caknur1414/status/1833656031781728576","960668225171111937","caknur1414"
"1833656028266954925","Tue Sep 10 23:57:19 +0000 2024","3","Kelas bang Jay &amp; Ridho #TimnasDay https://t.co/8lcuWcSUuF","1833656028266954925","https://pbs.twimg.com/ext_tw_video_thumb/1833655926592851968/pu/img/9Vli4Qpq9pcI3d2C.jpg","","in","kamar","0","0","0","https://x.com/bimadimanggala/status/1833656028266954925","1059936985","bimadimanggala"
"1833655805062848678","Tue Sep 10 23:56:26 +0000 2024","8","Jual Shabu untuk Ber Judi Online.. Warbiyasah..Bobrok #JudolRip #TimnasDay Marselino Rizky Ridho Paes Marceng Australia Pindah Yang Lebih Bagus https://t.co/9Ca5xtMMZP","1833655805062848678","https://pbs.twimg.com/media/GXJ0PAtbwAAHSkK.jpg","","in","Jakarta Capital Region, Indone","0","0","7","https://x.com/caknur1414/status/1833655805062848678","960668225171111937","caknur1414"
"1833655589379137719","Tue Sep 10 23:55:34 +0000 2024","9","Waspada Anak anak di Incar JUDOL .. #JudolRip #TimnasDay Marselino Rizky Ridho Paes Marceng Australia Pindah Yang Lebih Bagus https://t.co/o8HH937feV","1833655589379137719","https://pbs.twimg.com/media/GXJ0CE2boAAPSL9.jpg","","in","Jakarta Capital Region, Indone","0","0","7","https://x.com/caknur1414/status/1833655589379137719","960668225171111937","caknur1414"
"1833655555015213066","Tue Sep 10 23:55:26 +0000 2024","12","Ketua Umum Kadin Indonesia Arsjad Rasjid mengatakan Indonesia tidak hanya mengikuti tren global terkait pengembangan investasi berdampak tetapi juga menjadi tujuan investasi paling aktif di kawasan *** #GarudaMendunia Jepang Pak Muh Arhan MAN 2 #TimnasDay Rumput GBK https://t.co/flawMz16Sz","1833655555015213066","https://pbs.twimg.com/media/GXJ0AnabcAEyyAw.jpg","","in","Indonesia","1","2","12","https://x.com/_Rajawalinews/status/1833655555015213066","1272953532535062529","_Rajawalinews"
"1833653713401192827","Tue Sep 10 23:48:07 +0000 2024","15","KSTP terus menebar teror kepada prajurit TNI-Polri yang bertugas di Papua bahkan kepada masyarakat sipil. Menebar ketakutan dan keresahan di masyarakat Papua dengan aksi² brutal mematikan dan teror menakutkan. #OPM_ParasitePapua #GarudaMendunia #TimnasDay Jepang Pak Muh https://t.co/8JSeYTu5dF","1833653713401192827","https://pbs.twimg.com/media/GXJyU3Wa0AAFto5.jpg","","in","DKI Jakarta, Indonesia","1","4","14","https://x.com/rasa2086/status/1833653713401192827","1290494259791933443","rasa2086"
"1833653495888822384","Tue Sep 10 23:47:15 +0000 2024","14","Partisipasi dalam proses demokrasi adalah sebuah hak istimewa dan tanggung jawab setiap warga negara penting bagi kita untuk merangkul hak pilih sebagai alat untuk mengubah &amp; membentuk masa depan negara kita. *** #GarudaMendunia Jepang Pak Muh Arhan MAN 2 #TimnasDay Rumput GBK https://t.co/yTqtAhZHke","1833653495888822384","https://pbs.twimg.com/media/GXJyIvDaIAAkkvK.jpg","","in","Indonesia","1","2","14","https://x.com/_Rajawalinews/status/1833653495888822384","1272953532535062529","_Rajawalinews"
"1833653370411946225","Tue Sep 10 23:46:45 +0000 2024","8","Timnas Indonesia sukses menahan imbang Australia 0-0 di laga kedua Kualifikasi Piala Dunia 2026 di Stadion Utama Gelora Bung Karno (SUGBK) Jakarta Selasa (10/9/2024). #timnasday #TimnasIndonesia #GarudaMendunia #FIFA #FIFAWorldCupQualifiers https://t.co/qGF955nztx","1833653370411946225","https://pbs.twimg.com/media/GXJxyfVbUAAdEtw.jpg","","in","Jakarta Capital Region","0","0","1","https://x.com/akuratco/status/1833653370411946225","786549338818224128","akuratco"
"1833652440056676568","Tue Sep 10 23:43:03 +0000 2024","0","damage berdaster Jepang Arhan Pak Muh ariel tatum #TimnasDay Rumput GBK #GarudaMendunia Paes Fufufafa Hubner https://t.co/o2jevyGGxJ","1833652440056676568","https://pbs.twimg.com/ext_tw_video_thumb/1833652053736108032/pu/img/WuJMRM4Xpx7loltS.jpg","","in","","0","0","0","https://x.com/juraganqqsuper/status/1833652440056676568","1820545346654904320","juraganqqsuper"
"1833652283512594682","Tue Sep 10 23:42:26 +0000 2024","0","Paspamstafsus #timnasday #timnasindonesia #indonesia https://t.co/TIvQCZxKBr","1833652283512594682","https://pbs.twimg.com/media/GXJxB3IbEAAHkN7.jpg","","in","","0","0","0","https://x.com/hateisworthless/status/1833652283512594682","355244120","hateisworthless"
"1833652242349756862","Tue Sep 10 23:42:16 +0000 2024","0","Singkat saja Tuhan nonton Timnas Tahun Depan di GBK #TimnasDay","1833652242349756862","","","in","Indonesia","0","0","0","https://x.com/crljoyyy/status/1833652242349756862","2884662368","crljoyyy"
"1833652096421466471","Tue Sep 10 23:41:42 +0000 2024","15","Delonix adlah investor China yg akan membangun mal hotel apartemen atau kawasan mixed use dgn investasi Rp 500 miliar. Australian Independent School investor asal Australia yg akan membangun sekolah di IKN dgn nilai investasi Rp 150 miliar. #GarudaMendunia #TimnasDay Jepang https://t.co/YtZTPdD1nk","1833652096421466471","https://pbs.twimg.com/media/GXJw2zibMAAJwd_.jpg","","in","DKI Jakarta, Indonesia","1","4","14","https://x.com/rasa2086/status/1833652096421466471","1290494259791933443","rasa2086"
"1833651981799526525","Tue Sep 10 23:41:14 +0000 2024","0","fokus kemana??? Jepang Arhan Pak Muh ariel tatum #TimnasDay Rumput GBK #GarudaMendunia Paes Fufufafa Hubner https://t.co/hh8fcFteAJ","1833651981799526525","https://pbs.twimg.com/ext_tw_video_thumb/1833651616765108224/pu/img/Hbs6TfCua9fHM9CM.jpg","","in","","0","0","0","https://x.com/juraganqqsuper/status/1833651981799526525","1820545346654904320","juraganqqsuper"
"1833651802027462978","Tue Sep 10 23:40:31 +0000 2024","0","Tanah Airku️ #TimnasDay #TimnasIndonesia https://t.co/U9x9fGa4v7","1833651802027462978","https://pbs.twimg.com/ext_tw_video_thumb/1833651655394664448/pu/img/fguhi2m1FuxEQ7gg.jpg","","in","","0","0","0","https://x.com/rrosyyc/status/1833651802027462978","1783864762922909696","rrosyyc"
