conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1846340098067255321,Tue Oct 15 23:59:17 +0000 2024,0,Sebulan kedepan gue ga enak makan susah tidur BB turun ga mood ngapa2in yg paling parah kayaknya mode senggol bacok ini. Semangat bestie #TimnasDay,1846340098067255321,,,in,,0,0,0,https://x.com/jiewangii/status/1846340098067255321,1575229389482389504,jiewangii
1846335672703242491,Tue Oct 15 23:58:24 +0000 2024,0,@cingreborn Hehhh cingg #Timnasday,1846339876863856799,,cingreborn,in,konohahahahahahah,0,0,0,https://x.com/niyupsie/status/1846339876863856799,2397599359,niyupsie
1846339042339860801,Tue Oct 15 23:55:05 +0000 2024,0,Waduh ga jadi deh mejeng di baliho ucapan terima kasih'. #TimnasDay,1846339042339860801,,,in,,0,0,0,https://x.com/BR_Tamsyah/status/1846339042339860801,1659741905721393153,BR_Tamsyah
1846338999017001375,Tue Oct 15 23:54:55 +0000 2024,0,#TimnasDay Asnawi Mees. Argentina yg sering menang aja platihnya ngga malu pake tim terbaik &amp; pakem formasi walau cuma lawan venezuela. Lah ini lawan cina ngeremehin. Pdhl belum pernah menang di round 3. Asli lawan bahrain &amp; cina itu salah STY.,1846338999017001375,,,in,,0,0,0,https://x.com/lost466270/status/1846338999017001375,1716598436504670208,lost466270
1846338989923750239,Tue Oct 15 23:54:53 +0000 2024,2,Aura +99999 Trivia : Kakek Andra ramadhan dan kakek bang Jay idzes sama-sama memiliki cucu #Timnasday #jayidzes #asnawi https://t.co/lQFEqQjkTN,1846338989923750239,https://pbs.twimg.com/media/GZ-DhW8b0AAvXJi.jpg,,in,"Gotham, England",1,1,0,https://x.com/Domdcc/status/1846338989923750239,273339254,Domdcc
1846338859082437002,Tue Oct 15 23:54:21 +0000 2024,39,Pemain Lokal tidak pernah abroad tapi kualitasnya tidak kalah dengan pemain diaspora yg di eropa. Malah pertahanan lebih tenang jika dia dipasang sejak menit awal. Ridho x Jay ini udah pakem Respect untuk Rizky Ridho. #TimnasDay #StayStay #Mees Asnawi https://t.co/imKaZ6SJGT,1846338859082437002,https://pbs.twimg.com/media/GZ-DaGIb0AMkvKr.jpg,,in,KLT. Indonesia,1,4,0,https://x.com/virmansyahid/status/1846338859082437002,616009530,virmansyahid
1846338359268200936,Tue Oct 15 23:52:22 +0000 2024,1,Bangun pagi tp masih badmood gara² semalem. Maaf ya coach tp pertandingannya gak kayak waktu lawan Bahrain. #TimnasDay,1846338359268200936,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/ekanovz/status/1846338359268200936,381857899,ekanovz
1846189398448365767,Tue Oct 15 23:49:17 +0000 2024,0,@theaseanball Boleh jadi kekalahan Indonesia ini efek bola salju dari hasil match di Bahrain dengan wasit Ahmad Al Kaf. Andai menang waktu itu game plan-nya mungkin sedikit bertahan atau 50:50 karena tak terlalu terbebani target 3 poin. #Timnasday @TimnasIndonesia @erickthohir Asnawi Jepang,1846337580323033279,,theaseanball,in,Makassar-Jakarta-NL ZH,0,0,0,https://x.com/AARasamala0113/status/1846337580323033279,1100554063,AARasamala0113
1846337509703229606,Tue Oct 15 23:49:00 +0000 2024,2,Live Kualifikasi Piala Dunia 2026 Argentina vs Bolivia Jam: 07.00 WIB Link Streaming cek Bio! #TimnasDay #Timnas #AsianQualifiers Timnas STY Paes Struick #TimnasIndonesia wasit Messi Ronaldo Lautaro Martinez https://t.co/oaCQXvnJlc,1846337509703229606,https://pbs.twimg.com/media/GZ6GJM9asAA5Fmb.jpg,,in,,0,0,0,https://x.com/WatchSportTV99/status/1846337509703229606,1807183096170811392,WatchSportTV99
1846337213065580994,Tue Oct 15 23:47:49 +0000 2024,1,Lah wajar bang jay idzes marah gak seperti biasanya secara kapten asnawi gak bisa diandalkan (gak faham posisinya sebagai kapten) ditambah pemain dan keeper cina kebanyakan drama apa gak meledak tuh! #TimnasDay #TimnasIndonesia #TimnasMendunia,1846337213065580994,,,in,indonesia ,0,0,0,https://x.com/prabuadyatama/status/1846337213065580994,468871683,prabuadyatama
1846336939517268058,Tue Oct 15 23:46:44 +0000 2024,19,Asnawi berasa jadi star di Thailand semalam ga layak bgt jadi kapten. Untuk Shayne pantes aja dia sering bgt gak dimainin STY ya begitulah... Yg gw heran!!! Knp Haye selalu jadi supersub gak masuk starting eleven. Witan lu knp takut duel? #styout ? #Timnasday,1846336939517268058,,,in,,0,0,0,https://x.com/Ahidifarme/status/1846336939517268058,1835964462404374529,Ahidifarme
1846251634524856331,Tue Oct 15 23:45:43 +0000 2024,0,@aingriwehuy Keras kepala ndak merasa bahwa strateginya ndak karuan. #Timnasday,1846336684390338772,,aingriwehuy,in,Surabaya,0,0,0,https://x.com/Zaenalabidin2/status/1846336684390338772,290253800,Zaenalabidin2
1846336671295615063,Tue Oct 15 23:45:40 +0000 2024,0,Mau pasang angkur pakai metode chemical dengan harga yang tidak mahal? Hubungi 0812-6060-2997 #aplikatorchemicalanchor #aplikatorhilti #chemical #Timnasday #asnawi #witan #shayne #VeronicaTan #meeshilgers https://t.co/Tegt13SbDX,1846336671295615063,https://pbs.twimg.com/media/GZ-Alm6bsAAE9ay.jpg,,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/AsiaSemesta/status/1846336671295615063,1790658262058307584,AsiaSemesta
1846336634578784569,Tue Oct 15 23:45:31 +0000 2024,2,Arabica fermentasi nek di espresso malah Soyo nyoss cung #Timnasday #TimnasIndonesia https://t.co/CHSA0jp5Tw,1846336634578784569,https://pbs.twimg.com/media/GZ-BYi3b0AI45iu.jpg,,in,jatim,0,0,0,https://x.com/IwankusumaNdut/status/1846336634578784569,1521325448,IwankusumaNdut
1846336616404865498,Tue Oct 15 23:45:27 +0000 2024,0,Drama saudi bahrain gila bgt wkwkwkwkwk untung seri jadi poin ga terlalu jauh bikin mood ga jelek amat abis indo kalah lawan china semangat yokkkk indo! #TimnasDay,1846336616404865498,,,in,Indonesia,0,0,0,https://x.com/luckymg1999/status/1846336616404865498,1288683542621298688,luckymg1999
1846336595097801217,Tue Oct 15 23:45:22 +0000 2024,0,Pekan ini hanya Cina yg raih poin penuh Sungguh persaingan sengit di grup C #Timnasday #AsianQualifiers https://t.co/LHS0ffU2GS,1846336595097801217,https://pbs.twimg.com/media/GZ-BWTYb0AI_yja.jpg,,in,"Pallangga, Indonesia",0,0,0,https://x.com/JunaidahAry/status/1846336595097801217,569805154,JunaidahAry
